quantile,category,coefficient,se,ci_lower,ci_upper
0.1,C(ctgry_nm)[T.수산물],0.3436266506600276,0.17479851504501512,0.001021561171797969,0.6862317401482573
0.1,C(ctgry_nm)[T.식량작물],0.08635978456980098,0.22244219108831126,-0.3496269099632891,0.5223464791028911
0.1,C(ctgry_nm)[T.식품],-0.5904392839512127,0.3396462758509434,-1.256145984619062,0.07526741671663639
0.1,C(ctgry_nm)[T.채소류],0.6356166272266037,0.15433912292152666,0.33311194630041147,0.9381213081527959
0.1,C(ctgry_nm)[T.특용작물],0.49248620547435706,0.2172781877188857,0.06662095754534109,0.918351453403373
0.25,C(ctgry_nm)[T.수산물],0.2654187434415203,0.16609014849739737,-0.060117947613378575,0.5909554344964192
0.25,C(ctgry_nm)[T.식량작물],-0.029526114962394878,0.20202859595837155,-0.4255021630408031,0.36644993311601337
0.25,C(ctgry_nm)[T.식품],-0.5187603717461768,0.29131563528430326,-1.0897390169034114,0.05221827341105756
0.25,C(ctgry_nm)[T.채소류],0.4567124575681687,0.14662085184807186,0.16933558794594783,0.7440893271903896
0.25,C(ctgry_nm)[T.특용작물],0.3357976617689351,0.20118244682938838,-0.05851993401666611,0.7301152575545363
0.5,C(ctgry_nm)[T.수산물],0.07072096892978408,0.14793877378631945,-0.21923902769140202,0.3606809655509702
0.5,C(ctgry_nm)[T.식량작물],-0.2658011567166483,0.18093026771667367,-0.6204244814413287,0.08882216800803211
0.5,C(ctgry_nm)[T.식품],-0.7692838833566924,0.2517216486268129,-1.2626583146652457,-0.2759094520481391
0.5,C(ctgry_nm)[T.채소류],0.20061039048475493,0.1308638537290226,-0.05588276282412935,0.4571035437936392
0.5,C(ctgry_nm)[T.특용작물],0.20929650426802482,0.178794062160671,-0.14113985756689035,0.5597328661029399
0.75,C(ctgry_nm)[T.수산물],-0.049241607712927404,0.10119082975316139,-0.24757563402912372,0.1490924186032689
0.75,C(ctgry_nm)[T.식량작물],0.18533818347736075,0.12308641688771893,-0.055911193622568356,0.42658756057728986
0.75,C(ctgry_nm)[T.식품],-0.8603415062044686,0.1774847642751665,-1.208211644183795,-0.5124713682251423
0.75,C(ctgry_nm)[T.채소류],0.12171029612743145,0.08932911308616372,-0.05337476552144943,0.29679535777631233
0.75,C(ctgry_nm)[T.특용작물],0.1445239625699426,0.12257089845853249,-0.09571499840878106,0.38476292354866626
0.9,C(ctgry_nm)[T.수산물],-0.050424946297084716,0.07931143409293846,-0.2058753571192441,0.10502546452507466
0.9,C(ctgry_nm)[T.식량작물],0.14726408768139265,0.10092882753292327,-0.05055641428313695,0.34508458964592226
0.9,C(ctgry_nm)[T.식품],-0.41582749225268145,0.15410790655244938,-0.7178789890954822,-0.11377599540988065
0.9,C(ctgry_nm)[T.채소류],0.07109924314563809,0.07002838194821191,-0.06615638547285727,0.20835487176413345
0.9,C(ctgry_nm)[T.특용작물],0.07020966341650947,0.09858576121577274,-0.1230184285664051,0.26343775539942405
